date,description,amount
2025-09-01,Salary credit from employer,92000
2025-09-02,House rent transfer,-21000
2025-09-03,Supermarket grocery,-3400
2025-09-04,Uber trip to office,-420
2025-09-05,Electricity bill payment,-2600
2025-09-06,Internet bill,-1099
2025-09-07,Restaurant dinner,-2100
2025-09-08,Fuel station refill,-3800
2025-09-09,Movie tickets,-900
2025-09-10,Zomato food order,-780
2025-09-11,Mobile bill recharge,-699
2025-09-12,Pharmacy medical store,-1200
2025-09-13,Amazon order,-6400
2025-09-14,Bus pass recharge,-1450
2025-09-15,Gym membership,-1999
2025-09-24,Emergency dental surgery,-18500
2025-10-01,Salary credit from employer,92000
2025-10-02,House rent transfer,-21000
2025-10-03,Supermarket grocery,-3400
2025-10-04,Uber trip to office,-420
2025-10-05,Electricity bill payment,-2600
2025-10-06,Internet bill,-1099
2025-10-07,Restaurant dinner,-2100
2025-10-08,Fuel station refill,-3800
2025-10-09,Movie tickets,-900
2025-10-10,Zomato food order,-780
2025-10-11,Mobile bill recharge,-699
2025-10-12,Pharmacy medical store,-1200
2025-10-13,Amazon order,-6400
2025-10-14,Bus pass recharge,-1450
2025-10-15,Gym membership,-1999
2025-10-24,Laptop repair and parts,-23500
2025-11-01,Salary credit from employer,92000
2025-11-02,House rent transfer,-21000
2025-11-03,Supermarket grocery,-3400
2025-11-04,Uber trip to office,-420
2025-11-05,Electricity bill payment,-2600
2025-11-06,Internet bill,-1099
2025-11-07,Restaurant dinner,-2100
2025-11-08,Fuel station refill,-3800
2025-11-09,Movie tickets,-900
2025-11-10,Zomato food order,-780
2025-11-11,Mobile bill recharge,-699
2025-11-12,Pharmacy medical store,-1200
2025-11-13,Amazon order,-6400
2025-11-14,Bus pass recharge,-1450
2025-11-15,Gym membership,-1999
2025-11-24,Unexpected home maintenance,-27500
2025-12-01,Salary credit from employer,92000
2025-12-02,House rent transfer,-21000
2025-12-03,Supermarket grocery,-3400
2025-12-04,Uber trip to office,-420
2025-12-05,Electricity bill payment,-2600
2025-12-06,Internet bill,-1099
2025-12-07,Restaurant dinner,-2100
2025-12-08,Fuel station refill,-3800
2025-12-09,Movie tickets,-900
2025-12-10,Zomato food order,-780
2025-12-11,Mobile bill recharge,-699
2025-12-12,Pharmacy medical store,-1200
2025-12-13,Amazon order,-6400
2025-12-14,Bus pass recharge,-1450
2025-12-15,Gym membership,-1999
2025-12-24,Holiday travel package,-33000
2026-01-01,Salary credit from employer,92000
2026-01-02,House rent transfer,-21000
2026-01-03,Supermarket grocery,-3400
2026-01-04,Uber trip to office,-420
2026-01-05,Electricity bill payment,-2600
2026-01-06,Internet bill,-1099
2026-01-07,Restaurant dinner,-2100
2026-01-08,Fuel station refill,-3800
2026-01-09,Movie tickets,-900
2026-01-10,Zomato food order,-780
2026-01-11,Mobile bill recharge,-699
2026-01-12,Pharmacy medical store,-1200
2026-01-13,Amazon order,-6400
2026-01-14,Bus pass recharge,-1450
2026-01-15,Gym membership,-1999
2026-01-24,Medical emergency payment,-29000
2026-02-01,Salary credit from employer,92000
2026-02-02,House rent transfer,-21000
2026-02-03,Supermarket grocery,-3400
2026-02-04,Uber trip to office,-420
2026-02-05,Electricity bill payment,-2600
2026-02-06,Internet bill,-1099
2026-02-07,Restaurant dinner,-2100
2026-02-08,Fuel station refill,-3800
2026-02-09,Movie tickets,-900
2026-02-10,Zomato food order,-780
2026-02-11,Mobile bill recharge,-699
2026-02-12,Pharmacy medical store,-1200
2026-02-13,Amazon order,-6400
2026-02-14,Bus pass recharge,-1450
2026-02-15,Gym membership,-1999
2026-02-24,Vehicle accident repair,-31500
