date,description,amount
2026-02-01,Salary credit from employer,85000
2026-02-02,House rent transfer,-18000
2026-02-03,Fresh grocery store,-2450
2026-02-04,Uber trip to office,-320
2026-02-05,Electricity bill payment,-2100
2026-02-06,Netflix subscription,-649
2026-02-07,Pharmacy medical store,-890
2026-02-08,Amazon electronics purchase,-9500
2026-02-09,Restaurant dinner with friends,-1850
2026-02-10,Fuel station refill,-3200
2026-02-11,Intercity train booking,-1450
2026-02-12,Monthly internet bill,-999
2026-02-13,Movie tickets,-780
2026-02-14,Zomato food order,-620
2026-02-15,Emergency hospital payment,-24000
2026-02-16,Cafe snacks,-410
2026-02-17,Mobile bill recharge,-499
2026-02-18,Flipkart clothing order,-2750
2026-02-19,Bus pass recharge,-1200
2026-02-20,Supermarket grocery,-3100
